case,phase,operations,histogram_sum_matches_summary,max_absolute_delta_pp,total_variation_percent,zero_operation_fwds,actual_percent_sum,vdbench_reported_percent_sum
bigdata_baleen_v2,0,18110,True,3.795525892893707,7.790656280795276,8,100.0,144.0100000000001
graph_graphchi_psw_v2,0,36844,True,1.9139161200715473,18.506014795111874,0,100.0,128.12999999999997
graph_graphchi_psw_v2,1,36858,True,1.8704726818360184,16.21592625068438,0,100.0,123.62999999999997
graph_graphchi_psw_v2,2,35647,True,2.0745974507784726,17.753870246599888,0,100.0,125.90999999999995
graph_graphchi_psw_v2,3,36260,True,2.0860186451613574,17.37825144144246,0,100.0,123.57000000000001
hpc_wrf_continuous_v2,0,16892,True,9.068765836355887,10.805756749264233,0,100.0,110.19999999999999
hpc_wrf_continuous_v2,1,18793,True,8.739142947660817,9.998017407386737,0,100.0,109.71999999999998
hpc_wrf_continuous_v2,2,20194,True,8.126940776867476,9.737475485547062,0,100.0,110.85000000000002
hpc_wrf_continuous_v2,3,12514,True,11.271877614584302,13.886637622335734,0,100.0,108.75999999999999
hpc_wrf_continuous_v2,4,20515,True,8.79642750143493,8.949202553789444,0,100.0,112.02000000000001
hpc_wrf_continuous_v2,5,20969,True,8.440287644456546,8.452415066822276,0,100.0,110.34000000000002
hpc_wrf_continuous_v2,6,13228,True,11.25076065475379,15.070609580483513,0,100.0,106.25
ai_training_ses_v2,0,555912,True,0.24234878929263726,1.0504327461689809,0,100.0,111.22000000000014
ai_inference_ses_v2,0,3948659,True,0.03658964094042405,0.29612777302582993,0,100.0,101.46999999999998
